iter	RMSE
0	57.10087419
1	57.04267712
2	57.02201517
3	56.89900795
4	56.88205086
5	56.83860819
6	56.75908761
7	56.73255386
8	56.69553683
9	56.62847243
10	56.59589894
11	56.53120451
12	56.52391202
13	56.5199709
14	56.51231678
15	56.49071666
16	56.4377803
17	56.40065231
18	56.35033408
19	56.33571962
20	56.33122819
21	56.31918449
22	56.26503003
23	56.23189808
24	56.19470415
25	56.06535146
26	56.01706995
27	55.99488186
28	55.98714551
29	55.92689533
30	55.92104281
31	55.9056237
32	55.82268631
33	55.81388296
34	55.79221602
35	55.77311419
36	55.74538186
37	55.73028587
38	55.70176068
39	55.68465509
40	55.67885955
41	55.60378803
42	55.59808727
43	55.58541276
44	55.54280677
45	55.53908711
46	55.4514566
47	55.44382847
48	55.41773508
49	55.41286175
50	55.4058247
51	55.38683568
52	55.3674551
53	55.34476483
54	55.29121234
55	55.20202426
56	55.1979299
57	55.13802523
58	55.09653794
59	55.04117674
60	55.01774555
61	54.94325775
62	54.92394818
63	54.90733421
64	54.86082853
65	54.84372183
66	54.84095172
67	54.8338309
68	54.82007084
69	54.80436714
70	54.78947341
71	54.75455146
72	54.744995
73	54.73461753
74	54.69582082
75	54.59700224
76	54.57273876
77	54.50914082
78	54.45637671
79	54.42845168
80	54.42066932
81	54.39857365
82	54.3541568
83	54.34484834
84	54.33924615
85	54.29685039
86	54.27521802
87	54.24345729
88	54.18908994
89	54.18290296
90	54.16315838
91	54.15370182
92	54.14691131
93	54.12006351
94	54.07553355
95	54.0531981
96	54.02876321
97	54.00325352
98	53.98234118
99	53.96771847
100	53.96120272
101	53.94915863
102	53.93621854
103	53.93338334
104	53.91388106
105	53.89359401
106	53.87534461
107	53.87188554
108	53.78582776
109	53.7677779
110	53.75374631
111	53.72601061
112	53.71683468
113	53.66914235
114	53.65758008
115	53.65041151
116	53.64805683
117	53.64398547
118	53.64061125
119	53.63136377
120	53.61601622
121	53.59532229
122	53.52255317
123	53.51845507
124	53.50403965
125	53.49240625
126	53.48711356
127	53.45297898
128	53.44817297
129	53.4456314
130	53.40779129
131	53.40585731
132	53.39629494
133	53.36667841
134	53.36006868
135	53.29983445
136	53.29150394
137	53.27955191
138	53.2770861
139	53.27404342
140	53.25030742
141	53.24759367
142	53.2404282
143	53.23159585
144	53.18126013
145	53.1788744
146	53.14055525
147	53.13539749
148	53.12818363
149	53.12047471
150	53.11245303
151	53.07408894
152	53.06437121
153	53.06240094
154	53.05696588
155	53.05359228
156	53.05054899
157	53.01832762
158	53.01376491
159	52.99281652
160	52.98415443
161	52.97876644
162	52.96112146
163	52.95942427
164	52.95400589
165	52.95110314
166	52.94705003
167	52.93832039
168	52.93635275
169	52.93053237
170	52.92717143
171	52.92464553
172	52.91914635
173	52.91721181
174	52.8863003
175	52.88015333
176	52.85319681
177	52.83083391
178	52.8284341
179	52.82614945
180	52.79471955
181	52.79390849
182	52.76819667
183	52.76638318
184	52.76444788
185	52.75168467
186	52.74739002
187	52.73608927
188	52.73533805
189	52.70989726
190	52.70084067
191	52.69309816
192	52.68895675
193	52.68277356
194	52.67385414
195	52.65305528
196	52.64866431
197	52.63285235
198	52.58892953
199	52.58510165
