iter	Passed	Remaining
0	0	61
1	0	53
2	0	49
3	0	46
4	1	47
5	1	49
6	1	49
7	2	48
8	2	48
9	2	47
10	2	47
11	3	47
12	3	50
13	3	50
14	4	49
15	4	49
16	4	48
17	4	47
18	4	47
19	5	46
20	5	45
21	5	44
22	5	44
23	5	43
24	6	43
25	6	42
26	6	42
27	6	42
28	7	41
29	7	41
30	7	40
31	7	39
32	7	40
33	8	40
34	8	40
35	8	40
36	9	39
37	9	39
38	9	38
39	9	38
40	9	38
41	10	37
42	10	37
43	10	36
44	10	36
45	10	35
46	10	35
47	11	34
48	11	34
49	11	34
50	11	33
51	11	33
52	11	33
53	12	32
54	12	33
55	12	33
56	13	32
57	13	32
58	13	32
59	13	31
60	13	31
61	13	31
62	14	30
63	14	30
64	14	30
65	14	29
66	14	29
67	15	29
68	15	29
69	15	28
70	15	28
71	15	28
72	16	28
73	16	27
74	16	27
75	16	27
76	16	27
77	17	26
78	17	26
79	17	26
80	17	26
81	18	26
82	18	25
83	18	25
84	19	26
85	19	25
86	19	25
87	20	25
88	20	25
89	20	24
90	20	24
91	20	24
92	20	24
93	21	23
94	21	23
95	21	23
96	21	23
97	22	22
98	22	22
99	22	22
100	22	22
101	23	22
102	23	21
103	23	21
104	23	21
105	24	21
106	24	21
107	24	20
108	24	20
109	24	20
110	24	19
111	25	19
112	25	19
113	25	19
114	25	19
115	26	18
116	26	18
117	26	18
118	26	18
119	26	17
120	26	17
121	27	17
122	27	17
123	27	16
124	28	16
125	28	16
126	28	16
127	29	16
128	29	16
129	29	16
130	30	15
131	30	15
132	30	15
133	30	15
134	30	14
135	31	14
136	31	14
137	31	14
138	32	14
139	32	13
140	32	13
141	32	13
142	33	13
143	33	12
144	33	12
145	33	12
146	33	12
147	34	11
148	34	11
149	34	11
150	34	11
151	34	10
152	34	10
153	35	10
154	35	10
155	35	10
156	35	9
157	36	9
158	36	9
159	36	9
160	36	8
161	36	8
162	36	8
163	37	8
164	37	7
165	39	8
166	39	7
167	39	7
168	40	7
169	40	7
170	40	6
171	40	6
172	41	6
173	41	6
174	41	5
175	42	5
176	42	5
177	42	5
178	42	5
179	43	4
180	45	4
181	46	4
182	46	4
183	46	4
184	46	3
185	46	3
186	47	3
187	47	3
188	47	2
189	47	2
190	47	2
191	48	2
192	48	1
193	48	1
194	48	1
195	48	0
196	49	0
197	49	0
198	49	0
199	49	0
